,company,brand,q119 (rank),q219 (rank),q319 (rank),q419 (rank),q120 (rank),q220 (rank),q320 (rank),q420 (rank),q121 (rank),q221 (rank),q321 (rank),q421 (rank),q122 (rank),q222 (rank),q322 (rank),q422 (rank),q123 (rank),q223 (rank),q323 (rank),q423 (rank),2024-01-01 ($ stock),2023-12-01 ($ stock),2023-11-01 ($ stock),2023-10-01 ($ stock),2023-09-01 ($ stock),2023-08-01 ($ stock),2023-07-01 ($ stock),2023-06-01 ($ stock),2023-05-01 ($ stock),2023-04-01 ($ stock),2023-03-01 ($ stock),2023-02-01 ($ stock),2023-01-01 ($ stock),2022-12-01 ($ stock),2022-11-01 ($ stock),2022-10-01 ($ stock),2022-09-01 ($ stock),2022-08-01 ($ stock),2022-07-01 ($ stock),2022-06-01 ($ stock),2022-05-01 ($ stock),2022-04-01 ($ stock),2022-03-01 ($ stock),2022-02-01 ($ stock),2022-01-01 ($ stock),2021-12-01 ($ stock),2021-11-01 ($ stock),2021-10-01 ($ stock),2021-09-01 ($ stock),2021-08-01 ($ stock),2021-07-01 ($ stock),2021-06-01 ($ stock),2021-05-01 ($ stock),2021-04-01 ($ stock),2021-03-01 ($ stock),2021-02-01 ($ stock),2021-01-01 ($ stock),2020-12-01 ($ stock),2020-11-01 ($ stock),2020-10-01 ($ stock),2020-09-01 ($ stock),2020-08-01 ($ stock),2020-07-01 ($ stock),2020-06-01 ($ stock),2020-05-01 ($ stock),2020-04-01 ($ stock),2020-03-01 ($ stock),2020-02-01 ($ stock),2020-01-01 ($ stock),2019-12-01 ($ stock),2019-11-01 ($ stock),2019-10-01 ($ stock),2019-09-01 ($ stock),2019-08-01 ($ stock),2019-07-01 ($ stock),2019-06-01 ($ stock),2019-05-01 ($ stock),2019-04-01 ($ stock),2019-03-01 ($ stock),2019-02-01 ($ stock),2019-01-01 ($ stock),2018-12-30( google_trend weekly),2019-01-06( google_trend weekly),2019-01-13( google_trend weekly),2019-01-20( google_trend weekly),2019-01-27( google_trend weekly),2019-02-03( google_trend weekly),2019-02-10( google_trend weekly),2019-02-17( google_trend weekly),2019-02-24( google_trend weekly),2019-03-03( google_trend weekly),2019-03-10( google_trend weekly),2019-03-17( google_trend weekly),2019-03-24( google_trend weekly),2019-03-31( google_trend weekly),2019-04-07( google_trend weekly),2019-04-14( google_trend weekly),2019-04-21( google_trend weekly),2019-04-28( google_trend weekly),2019-05-05( google_trend weekly),2019-05-12( google_trend weekly),2019-05-19( google_trend weekly),2019-05-26( google_trend weekly),2019-06-02( google_trend weekly),2019-06-09( google_trend weekly),2019-06-16( google_trend weekly),2019-06-23( google_trend weekly),2019-06-30( google_trend weekly),2019-07-07( google_trend weekly),2019-07-14( google_trend weekly),2019-07-21( google_trend weekly),2019-07-28( google_trend weekly),2019-08-04( google_trend weekly),2019-08-11( google_trend weekly),2019-08-18( google_trend weekly),2019-08-25( google_trend weekly),2019-09-01( google_trend weekly),2019-09-08( google_trend weekly),2019-09-15( google_trend weekly),2019-09-22( google_trend weekly),2019-09-29( google_trend weekly),2019-10-06( google_trend weekly),2019-10-13( google_trend weekly),2019-10-20( google_trend weekly),2019-10-27( google_trend weekly),2019-11-03( google_trend weekly),2019-11-10( google_trend weekly),2019-11-17( google_trend weekly),2019-11-24( google_trend weekly),2019-12-01( google_trend weekly),2019-12-08( google_trend weekly),2019-12-15( google_trend weekly),2019-12-22( google_trend weekly),2019-12-29( google_trend weekly),2020-01-05( google_trend weekly),2020-01-12( google_trend weekly),2020-01-19( google_trend weekly),2020-01-26( google_trend weekly),2020-02-02( google_trend weekly),2020-02-09( google_trend weekly),2020-02-16( google_trend weekly),2020-02-23( google_trend weekly),2020-03-01( google_trend weekly),2020-03-08( google_trend weekly),2020-03-15( google_trend weekly),2020-03-22( google_trend weekly),2020-03-29( google_trend weekly),2020-04-05( google_trend weekly),2020-04-12( google_trend weekly),2020-04-19( google_trend weekly),2020-04-26( google_trend weekly),2020-05-03( google_trend weekly),2020-05-10( google_trend weekly),2020-05-17( google_trend weekly),2020-05-24( google_trend weekly),2020-05-31( google_trend weekly),2020-06-07( google_trend weekly),2020-06-14( google_trend weekly),2020-06-21( google_trend weekly),2020-06-28( google_trend weekly),2020-07-05( google_trend weekly),2020-07-12( google_trend weekly),2020-07-19( google_trend weekly),2020-07-26( google_trend weekly),2020-08-02( google_trend weekly),2020-08-09( google_trend weekly),2020-08-16( google_trend weekly),2020-08-23( google_trend weekly),2020-08-30( google_trend weekly),2020-09-06( google_trend weekly),2020-09-13( google_trend weekly),2020-09-20( google_trend weekly),2020-09-27( google_trend weekly),2020-10-04( google_trend weekly),2020-10-11( google_trend weekly),2020-10-18( google_trend weekly),2020-10-25( google_trend weekly),2020-11-01( google_trend weekly),2020-11-08( google_trend weekly),2020-11-15( google_trend weekly),2020-11-22( google_trend weekly),2020-11-29( google_trend weekly),2020-12-06( google_trend weekly),2020-12-13( google_trend weekly),2020-12-20( google_trend weekly),2020-12-27( google_trend weekly),2021-01-03( google_trend weekly),2021-01-10( google_trend weekly),2021-01-17( google_trend weekly),2021-01-24( google_trend weekly),2021-01-31( google_trend weekly),2021-02-07( google_trend weekly),2021-02-14( google_trend weekly),2021-02-21( google_trend weekly),2021-02-28( google_trend weekly),2021-03-07( google_trend weekly),2021-03-14( google_trend weekly),2021-03-21( google_trend weekly),2021-03-28( google_trend weekly),2021-04-04( google_trend weekly),2021-04-11( google_trend weekly),2021-04-18( google_trend weekly),2021-04-25( google_trend weekly),2021-05-02( google_trend weekly),2021-05-09( google_trend weekly),2021-05-16( google_trend weekly),2021-05-23( google_trend weekly),2021-05-30( google_trend weekly),2021-06-06( google_trend weekly),2021-06-13( google_trend weekly),2021-06-20( google_trend weekly),2021-06-27( google_trend weekly),2021-07-04( google_trend weekly),2021-07-11( google_trend weekly),2021-07-18( google_trend weekly),2021-07-25( google_trend weekly),2021-08-01( google_trend weekly),2021-08-08( google_trend weekly),2021-08-15( google_trend weekly),2021-08-22( google_trend weekly),2021-08-29( google_trend weekly),2021-09-05( google_trend weekly),2021-09-12( google_trend weekly),2021-09-19( google_trend weekly),2021-09-26( google_trend weekly),2021-10-03( google_trend weekly),2021-10-10( google_trend weekly),2021-10-17( google_trend weekly),2021-10-24( google_trend weekly),2021-10-31( google_trend weekly),2021-11-07( google_trend weekly),2021-11-14( google_trend weekly),2021-11-21( google_trend weekly),2021-11-28( google_trend weekly),2021-12-05( google_trend weekly),2021-12-12( google_trend weekly),2021-12-19( google_trend weekly),2021-12-26( google_trend weekly),2022-01-02( google_trend weekly),2022-01-09( google_trend weekly),2022-01-16( google_trend weekly),2022-01-23( google_trend weekly),2022-01-30( google_trend weekly),2022-02-06( google_trend weekly),2022-02-13( google_trend weekly),2022-02-20( google_trend weekly),2022-02-27( google_trend weekly),2022-03-06( google_trend weekly),2022-03-13( google_trend weekly),2022-03-20( google_trend weekly),2022-03-27( google_trend weekly),2022-04-03( google_trend weekly),2022-04-10( google_trend weekly),2022-04-17( google_trend weekly),2022-04-24( google_trend weekly),2022-05-01( google_trend weekly),2022-05-08( google_trend weekly),2022-05-15( google_trend weekly),2022-05-22( google_trend weekly),2022-05-29( google_trend weekly),2022-06-05( google_trend weekly),2022-06-12( google_trend weekly),2022-06-19( google_trend weekly),2022-06-26( google_trend weekly),2022-07-03( google_trend weekly),2022-07-10( google_trend weekly),2022-07-17( google_trend weekly),2022-07-24( google_trend weekly),2022-07-31( google_trend weekly),2022-08-07( google_trend weekly),2022-08-14( google_trend weekly),2022-08-21( google_trend weekly),2022-08-28( google_trend weekly),2022-09-04( google_trend weekly),2022-09-11( google_trend weekly),2022-09-18( google_trend weekly),2022-09-25( google_trend weekly),2022-10-02( google_trend weekly),2022-10-09( google_trend weekly),2022-10-16( google_trend weekly),2022-10-23( google_trend weekly),2022-10-30( google_trend weekly),2022-11-06( google_trend weekly),2022-11-13( google_trend weekly),2022-11-20( google_trend weekly),2022-11-27( google_trend weekly),2022-12-04( google_trend weekly),2022-12-11( google_trend weekly),2022-12-18( google_trend weekly),2022-12-25( google_trend weekly),2023-01-01( google_trend weekly),2023-01-08( google_trend weekly),2023-01-15( google_trend weekly),2023-01-22( google_trend weekly),2023-01-29( google_trend weekly),2023-02-05( google_trend weekly),2023-02-12( google_trend weekly),2023-02-19( google_trend weekly),2023-02-26( google_trend weekly),2023-03-05( google_trend weekly),2023-03-12( google_trend weekly),2023-03-19( google_trend weekly),2023-03-26( google_trend weekly),2023-04-02( google_trend weekly),2023-04-09( google_trend weekly),2023-04-16( google_trend weekly),2023-04-23( google_trend weekly),2023-04-30( google_trend weekly),2023-05-07( google_trend weekly),2023-05-14( google_trend weekly),2023-05-21( google_trend weekly),2023-05-28( google_trend weekly),2023-06-04( google_trend weekly),2023-06-11( google_trend weekly),2023-06-18( google_trend weekly),2023-06-25( google_trend weekly),2023-07-02( google_trend weekly),2023-07-09( google_trend weekly),2023-07-16( google_trend weekly),2023-07-23( google_trend weekly),2023-07-30( google_trend weekly),2023-08-06( google_trend weekly),2023-08-13( google_trend weekly),2023-08-20( google_trend weekly),2023-08-27( google_trend weekly),2023-09-03( google_trend weekly),2023-09-10( google_trend weekly),2023-09-17( google_trend weekly),2023-09-24( google_trend weekly),2023-10-01( google_trend weekly),2023-10-08( google_trend weekly),2023-10-15( google_trend weekly),2023-10-22( google_trend weekly),2023-10-29( google_trend weekly),2023-11-05( google_trend weekly),2023-11-12( google_trend weekly),2023-11-19( google_trend weekly),2023-11-26( google_trend weekly),2023-12-03( google_trend weekly),2023-12-10( google_trend weekly),2023-12-17( google_trend weekly),2023-12-24( google_trend weekly),2023-12-31( google_trend weekly)
0,Kering,balenciaga,3,3,2,3,2,4,5,2,4,6,1,1,1,2,4,11,18,16,14,12,41.2,44.24,43.01,40.44,45.43,53.6,57.45,55.35,53.38,63.2,65.14,58.76,62.47,50.66,59.63,45.86,44.16,50.23,57.17,51.51,54.51,52.38,63.21,70.22,74.46,80.51,77.35,75.27,71.35,79.51,89.71,87.66,91.71,80.11,69.03,63.29,65.72,72.45,72.15,60.25,66.54,61.73,56.86,54.85,52.58,50.58,51.87,56.4,61.05,65.36,60.23,56.99,50.9,48.57,51.64,59.01,51.77,58.73,57.38,54.54,50.19,<1,<1,<1,<1,<1,<1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,1,1,1,1,1,1,1,1,<1,1,1,<1,<1,<1,0,<1,<1,0,0,0,<1,1,3,2,2,<1,<1,<1,<1,<1,<1,1,1,<1,<1,1,3,<1,<1,<1,<1,<1,1,2,<1,<1,<1,1,<1,<1,<1,<1,1,3,2,<1,<1,<1,<1,<1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,2,2,2,4,4,5,5,4,3,3,4,5,6,8,7,5,4,5,5,5,5,6,5,5,6,6,8,6,8,7,7,6,6,6,6,6,6,10,7,10,8,7,7,7,6,8,7,7,7,8,8,7,7,7,7,7,7,7,9,9,10,9,8,8,8,35,100,30,13,11,12,8,7,6,6,5,6,5,5,5,5,5,5,6,7,6,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,6,8,6,6,7,6
1,Kering,gucci,2,1,3,2,4,3,1,1,1,1,2,2,2,1,1,2,9,9,12,11,41.2,44.24,43.01,40.44,45.43,53.6,57.45,55.35,53.38,63.2,65.14,58.76,62.47,50.66,59.63,45.86,44.16,50.23,57.17,51.51,54.51,52.38,63.21,70.22,74.46,80.51,77.35,75.27,71.35,79.51,89.71,87.66,91.71,80.11,69.03,63.29,65.72,72.45,72.15,60.25,66.54,61.73,56.86,54.85,52.58,50.58,51.87,56.4,61.05,65.36,60.23,56.99,50.9,48.57,51.64,59.01,51.77,58.73,57.38,54.54,50.19,<1,<1,0,<1,<1,0,<1,<1,<1,0,<1,<1,<1,<1,0,0,<1,0,0,<1,0,0,0,0,0,<1,0,0,0,0,2,0,0,1,5,9,6,2,<1,<1,<1,0,0,<1,0,0,<1,<1,0,<1,0,<1,<1,0,11,9,5,6,12,8,4,5,4,5,4,5,7,10,7,6,7,11,11,12,9,8,12,15,11,14,20,20,12,11,14,10,9,9,8,8,14,10,11,17,13,9,7,13,21,22,14,14,21,26,19,16,13,9,11,13,16,20,15,18,24,22,12,10,9,22,27,23,8,8,17,14,12,17,6,6,17,17,9,4,15,22,22,22,21,20,21,21,21,21,20,19,17,22,23,25,30,40,39,34,24,36,23,24,23,20,21,23,26,27,28,26,25,25,24,22,22,22,22,24,24,24,23,23,24,23,22,22,20,24,24,24,23,23,22,21,21,19,19,19,18,19,19,19,19,17,17,19,19,26,22,22,23,26,27,19,19,17,18,18,18,17,17,17,18,17,18,18,17,18,18,17,18,19,19,19,18,19,18,17,17,17,15,16,16,17,16,15,16,16,15,14,15,15,15,15,15,15,14,16,17,22,20,19,21,24,26,18
2,Kering,bottega veneta,,,16,14,13,10,9,7,8,8,7,10,8,17,11,6,6,5,4,4,41.2,44.24,43.01,40.44,45.43,53.6,57.45,55.35,53.38,63.2,65.14,58.76,62.47,50.66,59.63,45.86,44.16,50.23,57.17,51.51,54.51,52.38,63.21,70.22,74.46,80.51,77.35,75.27,71.35,79.51,89.71,87.66,91.71,80.11,69.03,63.29,65.72,72.45,72.15,60.25,66.54,61.73,56.86,54.85,52.58,50.58,51.87,56.4,61.05,65.36,60.23,56.99,50.9,48.57,51.64,59.01,51.77,58.73,57.38,54.54,50.19,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
3,Kering,saint laurent,10,10,9,9,9,6,8,6,9,9,10,8,18,16,13,10,10,7,6,6,41.2,44.24,43.01,40.44,45.43,53.6,57.45,55.35,53.38,63.2,65.14,58.76,62.47,50.66,59.63,45.86,44.16,50.23,57.17,51.51,54.51,52.38,63.21,70.22,74.46,80.51,77.35,75.27,71.35,79.51,89.71,87.66,91.71,80.11,69.03,63.29,65.72,72.45,72.15,60.25,66.54,61.73,56.86,54.85,52.58,50.58,51.87,56.4,61.05,65.36,60.23,56.99,50.9,48.57,51.64,59.01,51.77,58.73,57.38,54.54,50.19,6,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5,5,6,8,7,6,7,10,7,6,4,5,4,4,5,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,8,7,7,8,10,7,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,7,10,8,6,8,7,8,6,4,6,5,5,5,5,8,8,5,4,5,6,6,5,7,8,9,4,5,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,5,6,8,8,4,4,4,4,4,4,3,4,4,3,3,5,5,5,5,5,4,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,6,6,6,7,6,6,7,6,6,7,7,7,9,9,13,11,11,11,13,15,10
4,LVMH,louis vuitton,,,,,,,,,7,4,5,4,3,5,9,15,13,11,16,16,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,<1,1,5,5,4,3,3,4,5,4,3,2,1,<1,3,3,1,5,27,44,41,43,42,40,38,38,42,51,64,60,48,44,41,40,41,43,67,70,69,70,75,85,99,100,97,96,98,95,84,77,69,75,71,77,76,79,76,72,73,75,66,68,68,71,72,75,72,72,69,68,65,66,70,64,67,64,56,47,49,48,50,46,44,43,41,44,46,44,44,44,42,41,43,44,55,50,53,55,60,72,51,47,46,43,43,42,44,42,42,44,49,48,46,56,63,60,58,46,48,46,44,44,45,49,55,51,47,44,44,43,43,42,41,41,41,40,39,39,39,41,40,40,41,37,44,45,53,52,55,54,59,73,54
5,LVMH,dior,,,,,,,,,3,2,3,6,6,6,6,8,11,10,13,15,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,12,11,12,11,12,12,13,13,13,13,12,13,11,12,11,12,13,14,14,14,13,14,14,14,14,14,13,13,17,13,16,14,13,14,15,14,14,14,13,13,14,14,14,13,14,15,15,18,29,24,25,30,20,18,22,23,19,20,22,25,22,22,21,14,13,13,15,17,17,20,21,21,21,21,19,23,26,32,32,34,33,35,36,32,30,28,24,25,25,26,25,26,26,25,27,25,20,23,24,31,32,33,36,42,37,29,27,32,30,29,29,28,26,27,27,30,29,29,30,28,29,30,31,32,30,30,30,29,33,32,29,29,30,29,30,27,25,28,25,26,28,30,27,25,16,16,17,16,17,18,19,24,25,26,28,32,32,25,20,18,19,19,22,20,21,18,19,19,19,17,25,28,26,29,30,25,24,25,26,25,25,24,22,26,24,26,24,21,23,24,24,20,19,22,21,19,17,12,12,13,12,14,17,19,16,11,8,11,12,11,12,20,26,11,22,15,9,8,9,8,9,10,9,9,8,8,10,10,11,11,10,11,13,13,10,29,35,37,37,36,35,36,35,35,36,34,35,36,34,36,36,37,39,50,52,61,60,57,60,69,76,50
6,LVMH,fendi,5,7,7,6,7,9,6,10,13,11,9,7,9,8,7,14,16,19,18,20,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,0,0,0,<1,<1,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,<1,<1,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,<1,0,0,0,<1,<1,<1,0,0,0,<1,1,2,0,1,1,<1,<1,2,1,3,2,1,<1,1,0,<1,0,<1,<1,0,0,2,3,4,3,3,2,0,<1,<1,<1,<1,0,1,2,1,2,1,2,7,7,8,8,8,3,3,7,9,8,4,2,1,6,11,10,9,9,7,2,1,5,3,2,8,9,9,8,9,9,7,6,7,6,7,9,7,6,7,11,12,11,9,8,8,10,12,13,11,11,9,10,11,11,10,13,10,10,9,9,9,9,10,10,10,11,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,10,9,9,9,8,9,8,8,8,8,9,9,8,9,9,10,10,9,8,9,9,7,8,8,8,8,8,7,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,9,9,9,8,7,7,6,6,6,6,7,7,8,10,8,7,8,9,9,10
7,LVMH,jw anderson,,,,,,,,,,,,,,,,,20,20,19,19,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,1,1,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,<1,<1,<1,1,<1,1
8,LVMH,loewe,,,20,20,18,16,15,15,16,16,15,14,13,14,14,7,5,1,2,3,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,6,6,5,6,4,4,5,4,4,4,4,5,5,6,5,5,6,6,6,6,6,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,4,4,5,5,5,5
9,LVMH,off-white,1,2,1,1,1,2,2,4,10,,,,11,19,20,,,,,,833.0,813.81,768.40002,717.39001,759.85999,848.29999,933.59998,945.0,875.0,960.79999,918.5,835.0,873.38,731.67999,758.48999,656.5,589.10999,648.90997,696.63,608.48999,648.23999,645.76001,719.51001,729.0,818.87,825.08002,784.5,784.08002,716.20001,740.88,814.09998,790.08002,805.0,757.5,668.75,642.0,604.70001,626.0,578.54999,466.04001,473.0,472.0,430.0,441.0,418.56,392.5,373.89999,413.5,435.0,466.79999,447.75,428.37,398.59,399.5,418.0,424.95001,375.60001,393.76001,368.75,343.56,321.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,12,11,10,10,11,12,12,13,12,12,12,12,12,13,17,11,11,9,10,10,10,9,9,10,10,10,10,10,11,7,9,10,12,11,10,10,13,11,9,10,9,9,9,9,13,12,12,14,14,14,16,14,15,14,13,13,13,12,13,14,13,13,13,12,12,13,15,14,16,16,17,15,13,14,14,17,18,16,16,16,16,16,21,18,21,61,25,20,19,25,19,18,18,15,16,18,16,19,19,18,18,18,19,69,100,20,19,21,17,16,16,16,15,18,21,17,17,18,17,17,21,19,20,18,18,23,29,19,21,20,18,17,16,15,18,18,25,22,21,20,24,25,19,20,18,17,17,16,16,15,15,17,17,17,17,17,17,17,18,17,16,16,17,18,17,16,16,17,16,17,17,19,19,18,18,17,16,16,14,15,14,14,15,15,15,15,17,17,20,18,20,18,17,19,15
